year,month,day,country,title,text,hazard-category,product-category,hazard,product
2003,4,8,au,The Australian Football League—AFL 2003 Auskick Plastic Drink Bottles,PRA No. 2003/6086 Date published 8 Apr 2003 Product description The plastic drink bottles with red lids have been distributed with this year's AFL Auskick membership packs. What are the defects? The pop up top on the red plastic lid on the 2003 AFL Auskick Drink Bottles may come off and become a choking hazard. What are the hazards? Choking. What should consumers do? Please immediately dispose of the red plastic lid which can be unscrewed from the plastic bottle. Replacement lids (in a different colour)will be distributed in due course at AFL Auskick Centres. Further enquiries can be directed to The Australian Football League. Supplier The Australian Football League Where the product was sold Nationally Responsible regulator Australian Competition and Consumer Commission is the responsible regulator for this recall. Product category Food and groceries Drinks × Close,other hazard,food contact materials,other not classified,plastics
2012,3,1,au,Frost Merchandising Pty Ltd—Smiles 4 Miles / Dental Health Services Victoria 380 mL Plastic Water Bottle,"PRA No. 2012/13044 Date published 1 Mar 2012 Product description Plastic water bottle Identifying features 380 mL Plastic Water Bottle with Smiles 4 Miles / Dental Health Services Victoria labelling What are the defects? The plastic nozzle portion of the lid may break during use, causing a fragment to separate from the rest of the nozzle. What are the hazards? Pieces of the nozzle may detach during use, posing a choking hazard. What should consumers do? Consumers should stop using the product and return it to the place they received it. For further enquires, please contact Dental Health Services Victoria on 03 9341 1162. Supplier Frost Merchandising Pty Ltd Traders who sold this product The drink bottles have been distributed by Dental Health Services Victoria to Smiles 4 Miles coordinators and early childhood service centres free of charge since January 2012. Where the product was sold Victoria Dates available for sale 30 January 2012 - 27 February 2012 Responsible regulator Australian Competition and Consumer Commission is the responsible regulator for this recall. Product category Food and groceries × Smiles 4 Miles Drink Bottle Close",packaging defect,food contact materials,damaged packaging,plastics
2014,2,20,hk,Food Alert - Food Allergen Alert: Stop Consuming certain Lecithin Powder Imported from Taiwan,"Food Alert - Food Allergen Alert: Stop Consuming certain Lecithin Powder Imported from Taiwan Issue Date 2014-02-20 Source of Information The Centre for Food Safety (CFS) Food Product Lecithin Powder Product name and Description Product name: O’Health Lecithin Powder Manufacturer: O’Health Co., Ltd in Taiwan Importer: O’Farm Limited Country of origin: Germany Net Weight: 320 gram per can Reason For Issuing Alert In response to a food complaint, the CFS took a sample of O’Health Lecithin Powder from the shop concerned for testing. Result showed that it contained milk protein and lactose but the presence of these substances was not declared in the list of ingredients on the product's food label. Action Taken by the Centre for Food Safety - The CFS has issued warning letters to the concerned vendor and the importer, and alerted the trade to stop selling the affected product. - The CFS will monitor the developments of the incident and take appropriate actions as and when necessary. Advice to the Trade - Stop selling the affected product immediately. Advice to Consumers - People who are allergic to milk may have immunologic response like vomiting, diarrhoea and rash upon consumption of food containing milk. In severe cases, anaphylactic shock may even develop. As for other members of the public, generally speaking, they would not be subject to such reactions when the food in question is consumed. - Consumers who were allergic to milk should stop eating the product, regardless of batches. People should seek medical treatment if they feel unwell after eating the product of concern. Further Information The CFS press release The importer has stopped sale of the affected product and initiated a recall. For enquiries about the recall, members of the public may call the retail company at 8111 1575 during office hours. Centre for Food Safety Food and Environmental Hygiene Department 2014-02-20  ",allergens,food additives and flavourings,milk and products thereof,"emulsifiers, stabilizers, thickeners and gelling agents"
2014,11,6,ca,Beehive brand Corn Syrup recalled due to pieces of plastic,"Notice This archive of previously issued food recalls and allergy alerts is provided for reference and research purposes. Users should note that the products listed in the archive have been subject to removal from the marketplace or appropriate corrective action. Food recalls or allergy alerts are not an indication of the food safety status of products produced at a later date. Notification - Beehive brand Corn Syrup recalled due to pieces of plastic Recall / advisory date: November 6, 2014 Reason for recall / advisory: Extraneous Material Hazard classification: Class 3 Company / Firm: ACH Food Companies, Inc. Distribution: British Columbia Extent of the distribution: Warehouse Reference number: 9412 Contents Affected products More information Media enquiries Affected products Brand Name Common Name Size Code(s) on Product UPC Reason for Recall Beehive Corn Syrup 55 gal 220D4 000-76172-019121 Extraneous Material - Non-Harmful - Other More information For more information, consumers and industry can contact the CFIA by filling out the online feedback form. Media enquiries CFIA Media Relations 613-773-6600 Date modified: 2014-11-17",foreign bodies,sugars and syrups,plastic fragment,syrup
2015,10,24,us,2015 - UPC Correction: David Trail Mix Sweet & Salty Voluntarily Recalled Due To Undeclared Dairy Allergen,"DAVID Trail Mix Sweet & Salty flavor is being voluntarily recalled by ConAgra Foods of Omaha, Nebraska, due to the presence of an ingredient in the trail mix that contains milk protein, which is not declared on the packaging. This Smart News Release features multimedia. View the full release here: http://www.businesswire.com/news/home/20151023006019/en/",allergens,food additives and flavourings,milk and products thereof,flavours
2016,4,25,uk,Ginco recalls its Chocolate Coated Honeycomb 100g due to undeclared allergens,"Ginco is recalling packets of Chocolate Coated Honeycomb 100g because the product contains milk and soya, which is not mentioned on the label. This makes the product a possible health risk for anyone with an allergy to soya and/or milk or intolerance to milk or milk constituents.
Product: Chocolate Coated Honeycomb 100g Batch No: L15320 ‘Best before’ end: December 2016 Batch No: L16018 ‘Best before’ end: July 2017
Allergens: soya and milk. The product contains milk and soya, which are not mentioned on the labelling, making it a possible health risk for anyone with an allergy to soya and/or milk or an intolerance to milk or milk constituents.
Ginco has recalled the affected product from customers and has issued product recall notices to be displayed in stores that sell the product.  A copy of the notice can be found at the link below. The company has also contacted the relevant allergy support organisations, which will tell their members of the recall. No other Ginco products are known to be affected.
If you have bought the above product and have an allergy to soya and/or milk, do not eat it.  Instead return it to the store from where you bought it.
Sometimes there will be a problem with a food product that means it should not be sold. Then it might be 'withdrawn' (taken off the shelves) or 'recalled' (when customers are asked to return the product). Sometimes foods have to be withdrawn or recalled if there is a risk to consumers because the allergy labelling is missing or incorrect or if there is any other food allergy risk. When there is a food allergy risk, the FSA will issue an Allergy Alert. Get Allergy Alerts: Subscribe to get Allergy Alerts by email or SMS text Ref: AA-2016",allergens,honey and royal jelly,milk and products thereof,honeycomb
2016,7,19,us,ConAgra Foods Expands Recall of P.F. Chang’s Home Menu Brand Meals Available in Grocery Retailers Due to Potential Presence of Foreign Material ConAgra Foods Does Not Make Meals for P.F. Chang’s Restaurants,"ConAgra Foods is expanding a voluntary recall of P.F. Chang’s Home Menu Brand products due to the potential presence of small metal fragments (2-9mm) in the sugar used in the sauce. This voluntary action is being undertaken because of impacted sugar from a supplier.
Foodborne foreign objects that are not hard and sharp and less than or equal to 7mm in length may cause minor injuries such as temporary reflexive choking and irritation of the gastrointestinal system. There have been no reports of adverse reactions or injuries due to consumption of these products to date.
An initial recall was issued on July 7, 2016 after a ConAgra employee observed metal fragments while dispensing sugar from a supplier for a P.F. Chang’s Home Menu Brand sauce ingredient. On July 14, 2016, ConAgra Foods was notified by the supplier of additional production lots of sugar that were impacted, such that the initial recall needed to be expanded to include additional P.F. Chang’s Home Menu Brand meals.
Products covered by this recall were distributed in the U.S., specific product names and information are listed below. No other ConAgra Foods are impacted by this recall and these products are not served in P.F. Chang’s restaurants. Meals in P.F. Chang’s restaurants are made fresh every day and in every restaurant.
Consumers who have purchased these items are advised not to consume them and return them to the store where originally purchased. ConAgra Foods is cooperating with both the FDA and USDA on this recall and is working with customers to ensure the packages are removed from store shelves and are no longer distributed. Consumers with questions should call our Consumer Affairs hotline at 1-800-252-0634, open 9 am through 7 pm CDT, Monday through Friday.     
<thead> 
 <tr> 
  <th>Item Description</th> 
  <th>UPC</th> 
  <th>MFG/Lot Code</th> 
  <th>Best By Date</th> 
 </tr> 
</thead> 
<tbody> 
 <tr> 
  <td>P.F. Chang’s Home Menu Brand Signature Spicy Chicken 22oz</td> 
  <td>31000-67023</td> 
  <td>Original: 5006616500<br>Additional: <br>5006615200</td> 
  <td>Original: June 8, 2017<br>Additional: May 26, 2017</td> 
 </tr> 
 <tr> 
  <td>P.F. Chang’s Home Menu Brand Mongolian Style Beef 22oz</td> 
  <td>31000-67000</td> 
  <td>Original: 5006617400<br>Additional: <br>5006615800</td> 
  <td>Original: June 17, 2017<br>Additional: June 1, 2017</td> 
 </tr> 
 <tr> 
  <td>P.F. Chang’s Home Menu Brand <br>Beef with Broccoli 22 oz</td> 
  <td>31000-67001</td> 
  <td>5006616100</td> 
  <td>June 4, 2017</td> 
 </tr> 
 <tr> 
  <td>P.F. Chang’s Home Menu Brand<br>Shrimp Lo Mein 22 oz</td> 
  <td>31000-67005</td> 
  <td>5006616700</td> 
  <td>June10, 2017</td> 
 </tr> 
 <tr> 
  <td>P.F. Chang’s Home Menu Brand<br>Sweet &amp; Sour Chicken 22 oz</td> 
  <td>31000-67006</td> 
  <td>5006616000</td> 
  <td>June 3, 2017</td> 
 </tr> 
 <tr> 
  <td>P.F. Chang’s Home Menu Brand<br>General Chang’s Chicken 22 oz</td> 
  <td>31000-67007</td> 
  <td>5006616000</td> 
  <td>June 3, 2017</td> 
 </tr> 
 <tr> 
  <td>P.F. Chang’s Home Menu Brand<br>Garlic Chicken<br>with Dan Dan noodles 22 oz</td> 
  <td>31000-67008</td> 
  <td>5006616500</td> 
  <td>June 8, 2017</td> 
 </tr> 
 <tr> 
  <td>P.F. Chang’s Home Menu Brand<br>Grilled Chicken Teriyaki<br>with Lo Mein Noodles 22 oz</td> 
  <td>31000-67010</td> 
  <td>5006616700</td> 
  <td>June 10, 2017</td> 
 </tr> 
</tbody>",foreign bodies,sugars and syrups,metal fragment,sugar
2016,9,30,uk,Hilltop Honey is recalling five batches of its Raw British Creamed Honey,"Hilltop Honey is recalling five batches of its Raw British Creamed Honey on a precautionary basis due to small pieces of metal being found in the product. The company has advised that the product should not be consumed.
The product is not suitable for consumption due to the possible presence of small pieces of metal.
Product: Hilltop Honey - Raw British Creamed Honey Pack size: 340g glass jars Batch code: Batches with EXP dates of: 16/04/2017, 29/05/2018, 11/06/2018, 14/06/2018, 18/06/2018.
Hilltop Honey is recalling the affected batches from its customers and will notify customers on their website. These notices explain to customers why the product is being recalled and tells them what actions to take if they have purchased the product. A copy of Hilltop Honey’s own recall notice is provided below.
If you have bought this product, do not eat it. Instead, return it to the store from where it was purchased or contact Hilltop Honey on 01686 689027 or info@hilltop-honey.com where they will replace your jar or refund you the full amount.
If there is a problem with a food product that means it should not be sold, then it might be 'withdrawn' (taken off the shelves) or 'recalled' (when customers are asked to return the product). The FSA issues Product Withdrawal Information Notices and Product Recall Information Notices to let consumers and local authorities know about problems associated with food. In some cases, a 'Food Alert for Action' is issued. This provides local authorities with details of specific action to be taken on behalf of consumers. Get food alerts Subscribe to get alerts by email or SMS text Ref: 58/2016",foreign bodies,honey and royal jelly,metal fragment,honey
2016,10,12,uk,Hilltop Honey recalls batches of Raw British Creamed Honey,"Hilltop Honey is recalling six batches of its Raw British Creamed Honey on a precautionary basis due to small pieces of metal being found in the product. The company has advised that the product should not be consumed.
The product is not suitable for consumption due to the possible presence of small pieces of metal.
Product: Hilltop Honey - Raw British Creamed Honey Pack size: 340g glass jars Batch code: Batches with EXP dates of: 16/04/2017, 22/04/2018, 29/05/2018, 11/06/2018, 14/06/2018, 18/06/2018 
Hilltop Honey is recalling the affected batches from its customers and will notify customers on their website. These notices explain to customers why the product is being recalled and tells them what actions to take if they have purchased the product. A copy of Hilltop Honey’s own recall notice is provided below.
If you have bought this product, do not eat it. Instead, return it to the store from where it was purchased or contact Hilltop Honey on 01686 689027 or info@hilltop-honey.com where they will replace your jar or refund you the full amount.
If there is a problem with a food product that means it should not be sold, then it might be 'withdrawn' (taken off the shelves) or 'recalled' (when customers are asked to return the product). The FSA issues Product Withdrawal Information Notices and Product Recall Information Notices to let consumers and local authorities know about problems associated with food. In some cases, a 'Food Alert for Action' is issued. This provides local authorities with details of specific action to be taken on behalf of consumers. Get food alerts Subscribe to get alerts by email or SMS text Ref: 58/2016 (Update 1)",foreign bodies,honey and royal jelly,metal fragment,honey
2017,11,3,ca,Christie brand Honey Teddy Grahams recalled due to rancidity,"Notice This archive of previously issued food recalls and allergy alerts is provided for reference and research purposes. Users should note that the products listed in the archive have been subject to removal from the marketplace or appropriate corrective action. Food recalls or allergy alerts are not an indication of the food safety status of products produced at a later date. Notification - Christie brand Honey Teddy Grahams recalled due to rancidity Recall / advisory date: November 3, 2017 Reason for recall / advisory: Other Hazard classification: Class 3 Company / Firm: Mondelez Canada Inc. Distribution: National Extent of the distribution: Retail Reference number: 11811 Contents Affected products More information Public enquiries and media Affected products Brand Name Common Name Size Code(s) on Product UPC Christie Honey Teddy Grahams 225 g 2018MR12 0 66721 01306 4 Christie Honey Teddy Grahams 6 x 30 g 2017DE25 0 66721 02057 4 More information For more information, consumers and industry can contact the CFIA by filling out the online feedback form. Public enquiries and media Public enquiries Toll-free: 1-800-442-2342 (Canada and U.S.) Telephone: 1-613-773-2342 (local or international) Media relations Telephone: 613-773-6600 Email: cfia.media.acia@canada.ca Date modified: 2017-11-10",organoleptic aspects,honey and royal jelly,altered organoleptic characteristics,honey
